Piso;h [cm];W [tonf];P [tonf];K [tonf/cm];Fy [tonf];as;ac;dc/dy;xi;d0;v0
1;548.6;1007.6;9006.5;392.9;2041.2;0.05;-0.02;5;0.05;0;0
2;396.2;990.3;7998.9;375;1950.4;0.05;-0.02;5;0.05;0;0
3;396.2;990.3;7008.6;375;1950.4;0.05;-0.02;5;0.05;0;0
4;396.2;990.3;6018.3;366.1;1905.1;0.05;-0.02;5;0.05;0;0
5;396.2;990.3;5028;366.1;1905.1;0.05;-0.02;5;0.05;0;0
6;396.2;990.3;4037.7;348.2;1814.4;0.05;-0.02;5;0.05;0;0
7;396.2;990.3;3047.4;348.2;1814.4;0.05;-0.02;5;0.05;0;0
8;396.2;990.3;2057.1;330.4;1723.7;0.05;-0.02;5;0.05;0;0
9;396.2;1066.8;1066.8;330.4;1723.7;0.05;-0.02;5;0.05;0;0
