Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001260	0.981000	
0.090954	1.962000	
0.179384	2.943000	
0.212099	3.924000	
0.249341	4.905000	
0.247488	5.886000	
0.227243	6.867000	
0.235970	7.848000	
0.250475	8.829000	
0.259762	9.810000	
0.266375	10.791000	
0.276131	11.772000	
0.292598	12.753000	
0.309582	13.734000	
0.327123	14.715000	
0.345578	15.696000	
0.364538	16.677000	
0.377584	17.658000	
0.370071	18.639000	
0.357893	19.620000	
0.342035	20.601000	
0.323413	21.582000	
0.304114	22.563000	
0.282950	23.544000	
0.267042	24.525000	
0.264865	25.506000	
0.271574	26.487000	
0.264310	27.468000	
0.255000	28.449000	
0.247590	28.939500	
0.243025	29.184750	
0.240740	29.307375	
0.238401	29.430000	
