Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000115	0.981000	
0.031511	1.962000	
0.040929	2.943000	
0.044641	3.924000	
0.037353	4.905000	
0.021327	5.886000	
0.004840	6.867000	
0.003741	7.848000	
0.008038	8.829000	
0.008666	9.810000	
0.006103	10.791000	
0.007214	11.772000	
0.026665	12.753000	
0.045259	13.734000	
0.064545	14.715000	
0.078438	15.696000	
0.073429	16.677000	
0.062764	17.658000	
0.051587	18.639000	
0.042739	19.620000	
0.034362	20.601000	
0.023647	21.582000	
0.015652	22.563000	
0.004291	23.544000	
0.006765	24.525000	
0.018625	25.506000	
0.030590	26.487000	
0.036986	27.468000	
0.040830	28.449000	
0.042005	28.939500	
0.042262	29.184750	
0.042337	29.307375	
0.042360	29.430000	
