Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001726	0.981000	
0.009385	1.962000	
0.044785	2.943000	
0.047708	3.924000	
0.018011	4.905000	
0.020612	5.886000	
0.059415	6.867000	
0.089996	7.848000	
0.104855	8.829000	
0.121906	9.810000	
0.159718	10.791000	
0.193840	11.772000	
0.185262	12.753000	
0.157444	13.734000	
0.128895	14.715000	
0.101736	15.696000	
0.081157	16.677000	
0.069744	17.658000	
0.049025	18.639000	
0.025420	19.620000	
0.003917	20.601000	
0.017797	21.582000	
0.032670	22.563000	
0.039829	23.544000	
0.023318	24.525000	
0.004190	25.506000	
0.029713	26.487000	
0.053508	27.468000	
0.076375	28.449000	
0.087420	28.939500	
0.092606	29.184750	
0.095022	29.307375	
0.097396	29.430000	
