Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000327	0.981000	
0.099249	1.962000	
0.183568	2.943000	
0.240131	3.924000	
0.258461	4.905000	
0.243618	5.886000	
0.227794	6.867000	
0.203675	7.848000	
0.177669	8.829000	
0.176956	9.810000	
0.190111	10.791000	
0.189473	11.772000	
0.189989	12.753000	
0.191867	13.734000	
0.199423	14.715000	
0.213634	15.696000	
0.225578	16.677000	
0.239315	17.658000	
0.267493	18.639000	
0.300995	19.620000	
0.331606	20.601000	
0.352372	21.582000	
0.370515	22.563000	
0.384138	23.544000	
0.394283	24.525000	
0.400993	25.506000	
0.409143	26.487000	
0.418038	27.468000	
0.429413	28.449000	
0.434495	28.939500	
0.436852	29.184750	
0.437981	29.307375	
0.439069	29.430000	
