Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001982	0.981000	
0.053403	1.962000	
0.122911	2.943000	
0.103124	3.924000	
0.025355	4.905000	
0.035697	5.886000	
0.095659	6.867000	
0.125417	7.848000	
0.151859	8.829000	
0.167035	9.810000	
0.158587	10.791000	
0.147267	11.772000	
0.145562	12.753000	
0.160178	13.734000	
0.186740	14.715000	
0.190184	15.696000	
0.185275	16.677000	
0.169916	17.658000	
0.145245	18.639000	
0.114952	19.620000	
0.093080	20.601000	
0.072385	21.582000	
0.052128	22.563000	
0.032249	23.544000	
0.012355	24.525000	
0.003813	25.506000	
0.000063	26.487000	
0.006121	27.468000	
0.013745	28.449000	
0.018239	28.939500	
0.020510	29.184750	
0.021651	29.307375	
0.022831	29.430000	
