Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001758	0.981000	
0.025669	1.962000	
0.328231	2.943000	
0.511495	3.924000	
0.554529	4.905000	
0.520952	5.886000	
0.490804	6.867000	
0.440740	7.848000	
0.336432	8.829000	
0.252606	9.810000	
0.211173	10.791000	
0.197232	11.772000	
0.175286	12.753000	
0.135828	13.734000	
0.094690	14.715000	
0.061222	15.696000	
0.043651	16.677000	
0.032622	17.658000	
0.020076	18.639000	
0.007109	19.620000	
0.008911	20.601000	
0.024717	21.582000	
0.047598	22.563000	
0.062226	23.544000	
0.080315	24.525000	
0.093738	25.506000	
0.102602	26.487000	
0.112091	27.468000	
0.111779	28.449000	
0.109765	28.939500	
0.108612	29.184750	
0.107869	29.307375	
0.107082	29.430000	
