Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000464	0.981000	
0.109327	1.962000	
0.147340	2.943000	
0.142515	3.924000	
0.198893	4.905000	
0.139219	5.886000	
0.060908	6.867000	
0.004747	7.848000	
0.044452	8.829000	
0.069877	9.810000	
0.086717	10.791000	
0.097489	11.772000	
0.100906	12.753000	
0.098519	13.734000	
0.090297	14.715000	
0.073668	15.696000	
0.045296	16.677000	
0.014807	17.658000	
0.016717	18.639000	
0.039775	19.620000	
0.048626	20.601000	
0.055799	21.582000	
0.064130	22.563000	
0.074671	23.544000	
0.086928	24.525000	
0.097047	25.506000	
0.109016	26.487000	
0.121511	27.468000	
0.134084	28.449000	
0.139888	28.939500	
0.142584	29.184750	
0.143867	29.307375	
0.145129	29.430000	
