Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.003411	0.981000	
0.063251	1.962000	
0.012938	2.943000	
0.062023	3.924000	
0.106316	4.905000	
0.106848	5.886000	
0.116679	6.867000	
0.133043	7.848000	
0.133829	8.829000	
0.129467	9.810000	
0.107036	10.791000	
0.065495	11.772000	
0.027432	12.753000	
0.000997	13.734000	
0.026191	14.715000	
0.051867	15.696000	
0.065024	16.677000	
0.074773	17.658000	
0.082652	18.639000	
0.088933	19.620000	
0.094649	20.601000	
0.098200	21.582000	
0.099543	22.563000	
0.099581	23.544000	
0.099303	24.525000	
0.098706	25.506000	
0.098060	26.487000	
0.097330	27.468000	
0.096434	28.449000	
0.095972	28.939500	
0.095707	29.184750	
0.095577	29.307375	
0.095453	29.430000	
