Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000112	0.981000	
0.034295	1.962000	
0.048345	2.943000	
0.090171	3.924000	
0.073284	4.905000	
0.053394	5.886000	
0.063025	6.867000	
0.040131	7.848000	
0.022150	8.829000	
0.017671	9.810000	
0.004671	10.791000	
0.010295	11.772000	
0.024931	12.753000	
0.042518	13.734000	
0.052799	14.715000	
0.060873	15.696000	
0.064153	16.677000	
0.062523	17.658000	
0.059097	18.639000	
0.054202	19.620000	
0.047168	20.601000	
0.039959	21.582000	
0.032496	22.563000	
0.024034	23.544000	
0.009977	24.525000	
0.003618	25.506000	
0.015004	26.487000	
0.025507	27.468000	
0.035965	28.449000	
0.041294	28.939500	
0.043972	29.184750	
0.045346	29.307375	
0.046733	29.430000	
